,summonerName
7,Áććømplishêd
8,lLithora
9,lolmoan
10,TunSushi
11,Mermen
12,Shpykooh
13,Swift uwu
14,KimooLee
15,Łuminous Łaser
16,Riven ahegao
17,No Tilt Hardii
18,Cuffs
19,Darkower
20,Itayu
21,zzv3
22,Babaco v2
23,Barham Sálih
24,Soulovers
25,3BooDź
26,CLG WaterBender
27,Strixxon
28,Sampge
29,LívíngShádow
30,Orïanna Grandë
31,Morrocan Lee
32,KR KóreánGírls
33,nixmasagebambare
34,Tayzty
35,heliop19
36,KING WANG JOT
37,GeniusDevil
38,ƒugazy
39,Timmieboy123
40,No feed I Cärry 
41,Žekken
42,Red is Bad
43,gamyyy
44,OmegàPrìme
45,Kolvak
46,Scathàch
47,Mayfax01
48,xJESUx
49,Mixayah
50,Contrôleur SNCF
51,Ariøn Sherwind
52,Rosarya
53,ElSuin
54,Bodo420
55,BluuGasm
56,Koba Le D4
57,kmsM8mp3
58,Rorji
59,irelia cariers u
60,DaRkChaOs147
61,Søru
62,H0DENKLAUS 420
63,Cyber Ego
64,Abdulabdallah
65,Struma82
66,ImPoppyIar
67,umu
68,Mygane
69,Jesuismortz
70,Marilù
71,SUCRE Mean
72,Da pupu
73,H4E TheVirtuoso
74,StatcheckStinger
75,Nevia
76,GoldChronos
77,Donkey D Smurf
78,guille2003
79,TheDoooo
80,cappuccino Neró
81,DASH IS LIFE
82,xXPolletteXx
83,Astrxx
84,saidiking
85,Kero Gandhe
86,Zimwolf
87,TheFlow24
88,Toy Story 5
89,Kog da MVP v2
90,Ganged
91,ImTheRealSmurf
92,Narcotic15
93,TheRosemaryDUDE
94,Unkreativie Chan
95,Deadkíller
96,ŻÈÐ
97,FNC Saiga
98,Rexilino
99,Wild hoho
100,SebaZabijaka
101,SOURCHERRY
102,JM in The Jungle
103,TbQQnAod3O
104,Big Burly Men
105,koto5blue
106,GreenEssence
107,GloomyBlade
108,ATEȘ
109,dalsuuu
110,CheeseIsChrïst
111,102067
112,xRupture
113,Talonly317
114,PourLesCollègues
115,flyerbek v2
116,Sir Sieg
117,RØX PoPoroPopO
118,ItsFriedChicken
119,Chapperv2 
120,Reckeeeer
121,AD Sylens
122,NIGHTHERO999
123,Launa87
124,lambforever
125,Demon Ekko
126,LeviAckerman420
127,TrashMobile
128,S DragØN
129,JayOmicron
130,Rennnnnnnnngar
131,SPL Rÿøta Kisé
132,Yugga
133,EinWildesRelaxo
134,CE T1ger
135,Salty Envy
136,1013270
137,Tobez
138,Arsuo
139,Drinkpepsimax
140,Top Wukong
141,Ðjeen
142,ˇ Z 
143,womenbeaterL9
144,nDjamba
145,hmoad123
146,HvDemon
147,dogpunch3
148,fayazbeub
149,0o00ooo0o
150,Lebensgepferd
151,heythereguy
152,FireFlareOliver
153,Vαlknut
