,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
82,77b2800e-b17d-487f-ad0c-0f2484bd0741,RANKED_SOLO_5x5,DIAMOND,IV,m8YV0Gu5V594dY5EcoynAM3uPi9PcpYCczWvVzxdJDQTIM7X,Chicknick228,38,338,300,False,False,False,False,
83,cac41aed-69a5-43ae-accc-31d733f72976,RANKED_SOLO_5x5,DIAMOND,IV,FjfnapcA19rko8maxlzg4hppwunPkfwtvnQ6doRbhdkb861W,Nezilis,0,85,104,False,False,False,False,
84,67a1f7ec-5c70-441a-a922-27aa2c1a9e07,RANKED_SOLO_5x5,DIAMOND,IV,xqR2xjcMkesUi1KE7AzzDJpZhzXv-W4cytkS5o7c8qaqu_oI,Danxer,100,399,371,False,False,False,True,"{'target': 2, 'wins': 0, 'losses': 0, 'progress': 'NNN'}"
85,e70f987e-a9d9-41e9-9c4b-e0f9c70c1b46,RANKED_SOLO_5x5,DIAMOND,IV,S5vhKXiGLobuf6NsKTQywsgW3uWDkY89RJIyoslDdXZeymR1,EzPz NoUpsetti,8,65,50,False,False,False,False,
86,f42a414d-fecc-4952-bb0b-9aa38644f491,RANKED_SOLO_5x5,DIAMOND,IV,mKXTAqOSYFxmW9FvUFBgbmb3pAxcdvbbyiNoBxxahuXsgRiu,ChocolateDor,13,130,153,True,False,False,False,
87,bd618839-01ad-4445-b702-68fd340baa46,RANKED_SOLO_5x5,DIAMOND,IV,qpW2RfUMeZC1WTGnlxz5jJXu_FXrt9PGSoz7c4PCpG7XqgAc,Xylester,0,111,135,False,False,False,False,
88,7c7939ec-7162-433e-9ae6-d728e50565f8,RANKED_SOLO_5x5,DIAMOND,IV,pqU-ZK0r6dbfhfQkiNYzbYJap8td5MVaa125jjubG4p7jQuY,sup im straight,0,316,291,True,False,False,False,
89,b475e828-6081-41b0-9ef0-23d1562a6de4,RANKED_SOLO_5x5,DIAMOND,IV,fqoZyUrgl-r3LuyeBbmoIEJKYwIOZrCRcLFBOig_LYOqpuWv,Mid Ji Bo Jiyan,12,163,134,False,False,False,False,
90,b5729270-a6df-46d3-a2e1-51969cc1ae20,RANKED_SOLO_5x5,DIAMOND,IV,U0256Cr9ahfIxjl1X52GLWQnBaXUFRsixmFZ1F1MCgxXn0xc,OTPythagore,9,82,55,False,False,False,False,
91,04623970-3ded-4466-a782-cfd917f776dc,RANKED_SOLO_5x5,DIAMOND,IV,cc4Ec_O8c54XqasbtUDTqgWlB_EDQc8kw2H1New8bXg20TSb,Spicy Raldha,17,412,425,False,False,False,False,
92,d925e093-2eb8-45f4-8186-1a21289fea55,RANKED_SOLO_5x5,DIAMOND,IV,nM96eRs0nxFK51-Qtt1ucGD9Ho40IRsEze7wVNxiPre7sovp,Proxixor,19,63,56,False,False,False,False,
93,d85bec7f-fb87-433f-9cc1-0a6194d85ac5,RANKED_SOLO_5x5,DIAMOND,IV,SFiJ7R3AZRXp3VKYQxBLR9m3Vggak3r8-Fcnj3H5k_gBmJo7,Pannekucken4Life,11,64,43,False,False,False,False,
94,4d174fab-e00f-40df-bf7e-ca19cef422c5,RANKED_SOLO_5x5,DIAMOND,IV,biGpiYTdv4eP51SlsdjAq9OHXvSN4zahIaqx07fk-q0RyDWI,otur med lag,75,82,95,False,False,False,False,
95,635416b9-e120-4c26-a3ea-6e6052803db8,RANKED_SOLO_5x5,DIAMOND,IV,jeJ41vtpcmj6np5MKsvMQ-Cwx_UQFKG0m_IfmeGG1gjp-wrr,Ðarłìng,0,106,116,False,False,False,False,
96,834f7385-d6a1-49f4-b389-403729e11e63,RANKED_SOLO_5x5,DIAMOND,IV,BMyUVaVFcxSc9I-Pu4CXd8zX5yk6rZooiAoh72nr9THsolyc,Poikks,94,49,20,False,False,False,False,
97,9be2c3aa-b440-4f3b-aa5c-2ee50446382d,RANKED_SOLO_5x5,DIAMOND,IV,Rq7ZZ11UAnBU8sPRipeWaK6UxSpWGBYsz8OQg0gY7TKjNXWX,XELEGION,57,560,556,False,False,False,False,
98,b01a3756-bea3-4986-8451-f921575520a3,RANKED_SOLO_5x5,DIAMOND,IV,C-TdJYaXWyqDubRptT-QfAQoyKnFiaFYNpGrSp2FwjTqgr2A,Second Blue Me,0,110,128,False,False,False,False,
99,bbce5061-8934-4759-ab73-13aff540ec3e,RANKED_SOLO_5x5,DIAMOND,IV,YLcqUwEfkqogaS1Gh5YYglBDLBM1RXTYXRD2ul2Z_5UMys19,lm decent,74,65,63,False,False,False,False,
100,7f02d86e-7097-47a0-9566-9cebd88d9b79,RANKED_SOLO_5x5,DIAMOND,IV,XpIOc7SyXVCK6Y0wJMHvRVjml0ZBWJ1RsqbXnYkb25guRLf1,Eli TT Eliason,28,189,140,False,False,False,False,
101,f9ef7fc0-15b8-41b3-a8f7-1268dfc0c971,RANKED_SOLO_5x5,DIAMOND,IV,jUzeNrEodYIF6cuODopZKeJVYbLuDqBQ_g0lp-XzDKXKkkwR,Skyland,32,507,540,True,False,False,False,
102,4ca4c7a1-1ac4-45bf-bee8-eff84c3fbe40,RANKED_SOLO_5x5,DIAMOND,IV,F6kE5fpyAFNwx5Mg4eh8BAIR57U41_Y-pl3pH6gsqcD-aAkO,I bims der Bard,81,227,178,False,False,False,True,
103,84cf6f0b-01e0-463f-8137-cb6d986d8d9a,RANKED_SOLO_5x5,DIAMOND,IV,k9Qmkr7kaul8EsWqqJLoo1KJ_ZTG1i2R8BIDirwO7A05qBKM,SecondChance99,23,21,29,False,False,False,False,
104,1b5baca8-62da-4fcc-8265-9a81d20860f7,RANKED_SOLO_5x5,DIAMOND,IV,uAX35zU3Z7ZYJsUD80YZ92CzybRZrOdkxruobhskbupV83jQ,Kandles,0,79,65,False,False,False,False,
105,6b9f6940-7587-45e3-a6b2-a5c33819ec20,RANKED_SOLO_5x5,DIAMOND,IV,g62jEYaESNZMjIZ-1SUoQvUJO1WzN6P_KkjAImR9921xOUAb,Hororoi,0,389,401,True,False,False,False,
106,586113bc-6d07-4d13-9b2f-7b0774b049cd,RANKED_SOLO_5x5,DIAMOND,IV,C2MOroM_FH3sSixATA21TlNBWAG2E5I0b84iaNC-x53cDyJT,xJ4P,32,239,212,False,False,False,False,
107,ed0053ad-8c68-4aae-bb01-0b8bfd6b4345,RANKED_SOLO_5x5,DIAMOND,IV,RkqBFJTOULs53-jCBw1VhvZ1HCnBmHzCHm5Jz12Qb48Ve4b9,Karel Anker,30,259,219,False,False,False,False,
108,bc6d2275-4e73-4c59-9b92-1a75c221a5dd,RANKED_SOLO_5x5,DIAMOND,IV,9W2dOc5gps81EBMCPzjqtHeNFRytzrU3velFd-NwJWKOT-Vy,Musse G,0,452,470,False,False,False,False,
109,bc6d2275-4e73-4c59-9b92-1a75c221a5dd,RANKED_SOLO_5x5,DIAMOND,IV,dnrFxhfW77AZPVNxDu82fhDtDk8SlF7qk59pRcFP1D--FBro,Ascentya,52,110,81,False,False,False,False,
110,3108ab9c-c029-4088-ae17-0dcf41062a3c,RANKED_SOLO_5x5,DIAMOND,IV,MPA_8oxGiHzGRYX22qny3uU_-nOOuX6DGJ-RDmLmiDbIgdWf,Shαco Bot,25,126,43,False,False,False,False,
